municipality_code,elder.pop,labor,hospitals,elementary,junior,shutdown.0406,X2020.1.25,X2020.1.26,X2020.1.27,X2020.1.28,X2020.1.29,X2020.1.30,X2020.1.31,X2020.2.1,X2020.2.2,X2020.2.3,X2020.2.4,X2020.2.5,X2020.2.6,X2020.2.7,X2020.2.8,X2020.2.9,X2020.2.10,X2020.2.11,X2020.2.12,X2020.2.13,X2020.2.14,X2020.2.15,X2020.2.16,X2020.2.17,X2020.2.18,X2020.2.19,X2020.2.20,X2020.2.21,X2020.2.22,X2020.2.23,X2020.2.24,X2020.2.25,X2020.2.26,X2020.2.27,X2020.2.28,X2020.2.29,X2020.3.1,X2020.3.2,X2020.3.3,X2020.3.4,X2020.3.5,X2020.3.6,X2020.3.7,X2020.3.8,X2020.3.9,X2020.3.10,X2020.3.11,X2020.3.12,X2020.3.13,X2020.3.14,X2020.3.15,X2020.3.16,X2020.3.17,X2020.3.18,X2020.3.19,X2020.3.20,X2020.3.21,X2020.3.22,X2020.3.23,X2020.3.24,X2020.3.25,X2020.3.26,X2020.3.27,X2020.3.28,X2020.3.29,X2020.3.30,X2020.3.31,X2020.4.1,X2020.4.2,X2020.4.3,X2020.4.4,X2020.4.5,X2020.4.6,X2020.4.7,X2020.4.8,X2020.4.9,X2020.4.10,X2020.4.11,X2020.4.12,X2020.4.13,X2020.4.14,X2020.4.15,X2020.4.16,X2020.4.17,X2020.4.18,X2020.4.19,X2020.4.20,X2020.4.21,X2020.4.22,X2020.4.23,X2020.4.24,X2020.4.25,X2020.4.26,X2020.4.27,X2020.4.28,X2020.4.29,X2020.4.30,X2020.5.1,X2020.5.2,X2020.5.3,X2020.5.4,X2020.5.5,X2020.5.6,X2020.5.7,X2020.5.8,X2020.5.9,X2020.5.10,X2020.5.11,X2020.5.12,X2020.5.13,X2020.5.14,X2020.5.15,X2020.5.16,X2020.5.17,X2020.5.18,X2020.5.19,X2020.5.20,X2020.5.21,X2020.5.22,X2020.5.23,X2020.5.24,X2020.5.25,X2020.5.26,X2020.5.27,X2020.5.28,X2020.5.29,X2020.5.30,X2020.5.31,X2020.6.1,X2020.6.2,X2020.6.3,X2020.6.4,X2020.6.5,X2020.6.6,X2020.6.7,X2020.6.8,X2020.6.9,X2020.6.10,X2020.6.11,X2020.6.12,X2020.6.13,X2020.6.14,X2020.6.15,X2020.6.16,X2020.6.17,X2020.6.18,X2020.6.19,X2020.6.20,X2020.6.21,X2020.6.22,X2020.6.23,X2020.6.24,X2020.6.25,X2020.6.26,X2020.6.27,X2020.6.28,X2020.6.29,X2020.6.30,X2020.7.1,X2020.7.2,X2020.7.3,X2020.7.4,X2020.7.5,X2020.7.6,X2020.7.7,X2020.7.8,X2020.7.9,X2020.7.10,X2020.7.11,X2020.7.12,X2020.7.13,X2020.7.14,X2020.7.15,X2020.7.16,X2020.7.17,X2020.7.18,X2020.7.19,X2020.7.20,X2020.7.21,X2020.7.22,X2020.7.23,X2020.7.24,X2020.7.25,X2020.7.26,X2020.7.27,X2020.7.28,X2020.7.29,X2020.7.30,X2020.7.31,X2020.8.1,X2020.8.2,X2020.8.3,X2020.8.4,X2020.8.5,X2020.8.6,X2020.8.7,X2020.8.8,X2020.8.9,X2020.8.10,prec_mean,age.0406,log.number
3201,0.247719492,0.504386304,9.94E-05,0.052110045,0.026621998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1339.059197,69,2.39789527279837
3202,0.338185475,0.489978121,7.39E-05,0.042719876,0.02265305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1430.916957,61,1.94591014905531
3203,0.339113984,0.512717431,2.68E-05,0.040567453,0.022534443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.765079,69,1.38629436111989
3205,0.319942273,0.523837792,7.21E-05,0.047322917,0.026875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466.993873,63,2.19722457733622
3207,0.295353796,0.50611638,8.41E-05,0.05000142,0.026250746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1210.655643,64,1.94591014905531
3208,0.373138051,0.529185375,7.2E-05,0.043886455,0.023489562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352.285181,70,1.94591014905531
3209,0.332842585,0.514940411,8.38E-05,0.046345614,0.026691058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336.454343,67,2.19722457733622
3210,0.365927725,0.508755947,0.000102286,0.03692516,0.023748763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447.655932,54,1.6094379124341
3211,0.354437259,0.497744688,0.000144275,0.039010551,0.021958211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699.291892,66,1.6094379124341
3214,0.361525327,0.547827737,7.61E-05,0.038104808,0.02160303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.424513,69,2.30258509299405
