"","PUBID","year","weight","selfemp","wage","age","numChildren","educ","school","experience","tenure","tenure2","fullTime","multipleLocations","unionized","firmSize","marstat","region","urban","industry","occupation","autonomy","competitiveness","hazardous","regularity","teamwork"
"65",15,2002,225405,0,750,20,0,"2.High school",TRUE,14,0.269230769,0.072485207,FALSE,NA,NA,NA,"No romantic union",1,1,"Health Care",3640,3.759669608,2.406206598,2.218414942,1.072355556,4.494050066
"66",15,2004,225405,0,900,22,0,"2.High school",TRUE,35,0.096153846,0.009245562,FALSE,NA,NA,NA,"No romantic union",4,0,"Health Care",5400,4.013030244,3.231223122,1.0179982,1.1739,4.4473
"67",15,2005,225405,0,700,22,0,"2.High school",TRUE,61,0.230769231,0.053254438,TRUE,1,0,"1. Less than 30","No romantic union",4,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4110,3.61957127,2.606160616,1.2344,1.3274,4.477847785
"68",15,2006,225405,0,400,23,0,"2.High school",TRUE,114,0.576923077,0.332840237,TRUE,1,0,"1. Less than 30","No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4040,4.139598413,2.701270127,1.197880212,1.5937,4.3814
"69",15,2009,225405,0,1200,27,0,"2.High school",FALSE,282,1.75,3.0625,FALSE,1,0,NA,"No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"70",15,2010,225405,0,947,28,0,"2.High school",FALSE,336,2.788461538,7.775517751,FALSE,1,0,"3. 300+","No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"71",15,2011,225405,0,1050,28,0,"2.High school",FALSE,371,3.461538462,11.98224852,FALSE,1,0,"3. 300+","No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"106",32,1997,253941,NA,475,15,0,NA,TRUE,143,2.75,7.5625,FALSE,NA,NA,NA,NA,1,1,"Manufacturing - Nondurable Goods",4720,3.4102896,2.56035,1.097459746,1.2124,4.162158108
"107",32,1998,253941,NA,650,17,0,"1.Less than HS",TRUE,238,2.038461538,4.155325444,FALSE,0,0,"1. Less than 30","No romantic union",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"108",32,1999,253941,NA,1000,18,0,"2.High school",TRUE,282,0.173076923,0.029955621,FALSE,NA,NA,NA,"No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",5200,3.96276999,2.8143,1,1.0303,4.3512
"109",32,2001,253941,0,1200,20,0,"2.High school",TRUE,391,1.442307692,2.080251479,FALSE,1,0,"2. 30-299","No romantic union",1,1,"Finance, Insurance, Real Estate, and Rental and Leasing",5200,3.96276999,2.8143,1,1.0303,4.3512
"110",32,2004,253941,0,833,23,0,"4.College",TRUE,401,0.192307692,0.036982249,TRUE,NA,NA,NA,"Cohabiting",1,1,"Retail Trade",4760,4.0115,3.585,1.2574,1.1962,4.292729273
"111",32,2008,253941,0,4500,27,1,"4.College",FALSE,520,2.288461538,5.237056213,TRUE,1,0,"3. 300+","Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",620,4.122555344,3.05106,1.296125923,1.2593,4.31699366
"112",32,2009,253941,0,4475,28,1,"4.College",FALSE,555,2.961538462,8.770710059,TRUE,1,0,"2. 30-299","Cohabiting",1,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",110,4.392804547,3.3459,1.153184682,1.2656,4.1669
