republican.therm,democrat.therm,gender,race,partisanship,income,education,age,religion
92,100,Male,Hispanic,Independent,"50,000 - 59,999",4-year College Degree,19,Christian
83,56,Female,Hispanic,Independent,"50,000 - 59,999",High School / GED,20,Christian
19,54,Female,African American,Democrat,"Less than 30,000",Some College,21,Other
6,70,Female,Other,Independent,"Less than 30,000",4-year College Degree,43,Other
13,53,Male,Other,Democrat,"60,000 - 69,999",2-year College Degree,66,Other
72,36,Female,Other,Democrat,"Less than 30,000",2-year College Degree,29,Christian
0,100,Female,White/Caucasian,Independent,"100,000 or more",Masters Degree,38,Other
13,100,Female,African American,Democrat,"40,000 - 49,999",Some College,46,Christian
27,75,Female,Hispanic,Independent,"Less than 30,000",Some College,42,Other
36,54,Female,White/Caucasian,Independent,"40,000 - 49,999",High School / GED,71,Christian
29,75,Male,White/Caucasian,Democrat,"Less than 30,000",2-year College Degree,52,Other
51,53,Female,White/Caucasian,Independent,"40,000 - 49,999",Some College,35,Other
61,60,Female,Hispanic,Independent,"100,000 or more",4-year College Degree,25,Christian
81,82,Female,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,57,Christian
34,100,Female,Hispanic,Democrat,"30,000 - 39,999",4-year College Degree,27,Other
55,72,Male,Hispanic,Other,"Less than 30,000",Some College,22,Christian
56,82,Female,Hispanic,Democrat,"90,000 - 99,999",2-year College Degree,37,Christian
0,67,Female,Other,Democrat,"40,000 - 49,999",4-year College Degree,32,Christian
67,67,Male,White/Caucasian,Republican,"Less than 30,000",Some College,24,Christian
0,100,Female,White/Caucasian,Democrat,"50,000 - 59,999",2-year College Degree,59,Christian
85,15,Female,White/Caucasian,Independent,"50,000 - 59,999",2-year College Degree,64,Christian
13,92,Male,White/Caucasian,Democrat,"30,000 - 39,999",High School / GED,62,Christian
0,85,Female,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,65,Christian
5,100,Female,White/Caucasian,Democrat,"Less than 30,000",2-year College Degree,69,Other
68,1,Male,White/Caucasian,Democrat,"100,000 or more",Doctoral Degree,56,Athiest
75,29,Male,White/Caucasian,Independent,"90,000 - 99,999",2-year College Degree,36,Athiest
22,71,Female,White/Caucasian,Democrat,"50,000 - 59,999",2-year College Degree,25,Christian
15,20,Male,White/Caucasian,Republican,"70,000 - 79,999",Some College,44,Jewish
95,2,Male,White/Caucasian,Republican,"50,000 - 59,999",2-year College Degree,45,Christian
0,92,Male,White/Caucasian,Independent,"90,000 - 99,999",Masters Degree,54,Athiest
54,54,Male,Other,Independent,"40,000 - 49,999",Some College,36,Other
32,79,Male,White/Caucasian,Democrat,"80,000 - 89,999",High School / GED,35,Other
100,0,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,45,Christian
74,75,Male,White/Caucasian,Independent,"100,000 or more",Masters Degree,37,Christian
75,51,Male,White/Caucasian,Republican,"50,000 - 59,999",2-year College Degree,44,Christian
62,66,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,38,Christian
38,39,Male,White/Caucasian,Independent,"100,000 or more",Masters Degree,50,Christian
64,34,Male,White/Caucasian,Republican,"40,000 - 49,999",Some College,47,Christian
0,0,Male,White/Caucasian,Independent,"50,000 - 59,999",High School / GED,22,Athiest
51,40,Male,White/Caucasian,Independent,"40,000 - 49,999",2-year College Degree,49,Christian
68,17,Female,White/Caucasian,Republican,"100,000 or more",2-year College Degree,47,Christian
61,29,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,53,Christian
1,100,Female,African American,Democrat,"Less than 30,000",Some College,41,Christian
0,65,Male,Other,Other,"Less than 30,000",Some College,20,Christian
49,64,Male,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,27,Christian
85,10,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,46,Christian
10,95,Female,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,99,Christian
0,85,Male,White/Caucasian,Democrat,"Less than 30,000",Some College,51,Christian
64,33,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,59,Christian
17,63,Female,Hispanic,Other,"Less than 30,000",2-year College Degree,29,Other
80,81,Male,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,79,Christian
99,26,Female,Hispanic,Democrat,"Less than 30,000",High School / GED,27,Christian
23,84,Male,White/Caucasian,Independent,"30,000 - 39,999",2-year College Degree,76,Christian
93,18,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,39,Christian
85,0,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,60,Christian
80,37,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,89,Christian
0,89,Male,White/Caucasian,Democrat,"70,000 - 79,999",4-year College Degree,40,Athiest
17,93,Male,White/Caucasian,Democrat,"50,000 - 59,999","Professional Degree (JD, MD)",79,Athiest
29,74,Female,Native American,Democrat,"90,000 - 99,999",4-year College Degree,24,Athiest
54,62,Male,White/Caucasian,Democrat,"70,000 - 79,999",Masters Degree,23,Christian
35,95,Female,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,64,Christian
55,85,Male,White/Caucasian,Democrat,"90,000 - 99,999",Masters Degree,45,Christian
93,18,Female,White/Caucasian,Republican,"60,000 - 69,999",High School / GED,40,Christian
87,60,Male,White/Caucasian,Republican,"Less than 30,000",2-year College Degree,64,Christian
31,73,Female,White/Caucasian,Independent,"50,000 - 59,999",4-year College Degree,76,Christian
0,0,Male,Other,Independent,"Less than 30,000",4-year College Degree,48,Other
45,87,Male,White/Caucasian,Democrat,"80,000 - 89,999",4-year College Degree,41,Christian
84,82,Female,White/Caucasian,Independent,"50,000 - 59,999",4-year College Degree,35,Jewish
0,65,Female,White/Caucasian,Democrat,"60,000 - 69,999",4-year College Degree,64,Other
9,100,Male,White/Caucasian,Democrat,"90,000 - 99,999",4-year College Degree,45,Christian
2,78,Female,Hispanic,Democrat,"Less than 30,000",High School / GED,46,Christian
51,51,Male,White/Caucasian,Republican,"30,000 - 39,999",High School / GED,76,Christian
74,82,Male,Native American,Democrat,"Less than 30,000",High School / GED,18,Christian
38,87,Female,Hispanic,Democrat,"Less than 30,000",High School / GED,53,Christian
53,52,Male,White/Caucasian,Independent,"40,000 - 49,999",4-year College Degree,89,Jewish
78,64,Male,White/Caucasian,Republican,"30,000 - 39,999",4-year College Degree,52,Christian
55,36,Male,White/Caucasian,Republican,"90,000 - 99,999",4-year College Degree,37,Christian
100,100,Male,White/Caucasian,Independent,"40,000 - 49,999",High School / GED,38,Christian
42,84,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,53,Christian
19,58,Female,White/Caucasian,Democrat,"70,000 - 79,999",4-year College Degree,57,Christian
62,54,Female,White/Caucasian,Republican,"30,000 - 39,999",Masters Degree,85,Christian
77,60,Female,White/Caucasian,Democrat,"Less than 30,000",High School / GED,86,Christian
73,57,Female,Asian,Republican,"40,000 - 49,999",2-year College Degree,25,Christian
39,79,Female,White/Caucasian,Democrat,"Less than 30,000",High School / GED,42,Athiest
7,9,Female,White/Caucasian,Independent,"Less than 30,000",2-year College Degree,62,Christian
19,91,Female,Hispanic,Democrat,"70,000 - 79,999",Masters Degree,40,Christian
47,43,Male,White/Caucasian,Independent,"60,000 - 69,999",Some College,47,Other
83,84,Female,White/Caucasian,Republican,"30,000 - 39,999",2-year College Degree,58,Christian
36,71,Male,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,23,Christian
24,78,Female,White/Caucasian,Democrat,"50,000 - 59,999",Some College,58,Christian
100,0,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,38,Other
57,7,Male,White/Caucasian,Republican,"30,000 - 39,999",Doctoral Degree,87,Christian
16,85,Female,Hispanic,Democrat,"Less than 30,000",Some College,26,Christian
0,100,Female,Other,Democrat,"Less than 30,000",Some College,21,Other
