bonica.rid,X,cycle,election,Cand.ID,Name,Party,State,seat,District,cfscore,male.winner,running.variable,female.margin,female.pctile,prev.elect,democrat,total.votes,professional,pct.female.chamber,gop.gov,house,state.pres.dem,num.cands,won.again,pct.dem.last,female.cand.last,total.dist.last,female.inc,total.raised.candidate,log.total.raised.candidate,individual.money,log.individual.money,pac.money,log.pac.money,party.money,log.party.money,male.money,log.male.money,female.money,log.female.money,share.district.total,district.total,log.district.total,cand.gender
cand100708,63501,1998,PA1998,PA105027,"LAUGHLIN, SUSAN",100,PA,state:lower,PA-16,-0.106536695,0,-15.25979863,65.25979863,65.3,NA,0,16.609,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,40375,10.60596606,3925,8.275376375,36000,10.49130199,250,5.525452939,2625,7.873217055,1300,7.170888479,1,40375,10.60596606,F
cand101663,99158,2004,PA2004,PA1080,"OPAKE, MICHAEL A",100,PA,state:upper,PA-11,0.118795732,1,20.87521362,29.12478638,29.1,NA,0,98.696,0.283,0.15942029,0,0,0.5092,2,1,94.89754486,0,108629,0,228235,12.33813108,108032,11.59019201,95050,11.46216887,17436,9.766349664,102631.6,11.5389109,4800,8.476579509,0.763808013,298812,12.60756989,M
cand101666,63586,1998,PA1998,PA1083,"ROBBINS, ROBERT D",200,PA,state:upper,PA-50,0.607340809,1,18.25415802,31.74584198,31.7,NA,1,58.625,0.283,0.230769231,1,0,0.4917,2,1,NA,NA,NA,0,206336,12.23726119,69259,11.14562282,83200,11.32901465,22644,10.02769436,61289,11.02337198,3855,8.257385656,0.961531471,214591,12.27648917,M
cand101669,99457,2004,PA2004,PA1086,"HUGHES, VINCENT",100,PA,state:upper,PA-7,-0.39055267,1,33.5528717,16.4471283,16.4,NA,0,109.32,0.283,0.15942029,0,0,0.5092,2,1,100,0,87128,0,560965,13.23741379,128380,11.76275768,418700,12.94491234,0,0,102905,11.54157123,26850,10.19805834,0.939915386,596825,13.29937922,M
cand101681,117842,2008,PA2008,PA113,"MILLARD, DAVID R",200,PA,state:lower,PA-109,0.61131982,1,11.65739059,38.34260941,38.3,NA,1,25.872,0.283,0.157575758,0,1,0.5447,2,1,41.50055695,0,49161,0,14940,9.611797459,1510,7.320526962,12100,9.401043373,500,6.216606101,1310,7.178545484,200,5.303304908,0.644743656,23172,10.05069993,M
cand101934,86493,2002,PA2002,PA14584,"HABAY, JEFFREY E",200,PA,state:lower,PA-30,0.428931775,1,19.3075764,30.6924236,30.7,NA,1,23.035,0.283,0.173529412,1,1,0.506,2,1,0,0,12468,0,55563,10.92527279,6130,8.721113148,15375,9.640563131,32458,10.38773303,4130,8.326274787,1050,6.957497371,1,55563,10.92527279,M
cand102030,63633,1998,PA1998,PA19571,"STEELMAN, SARA G",100,PA,state:lower,PA-62,-0.466984216,0,-8.554450989,58.55445099,58.6,NA,0,15.565,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,26074,10.16869393,12121,9.402777263,8550,9.053803514,200,5.303304908,7918.99,8.977145222,4148,8.33062262,0.304240274,85702,11.35863144,F
cand102062,63345,1998,PA1998,PA2334,"BISHOP, LOUISE WILLIAMS",100,PA,state:lower,PA-192,-0.505580308,0,-37.79188538,87.79188538,87.8,NA,0,13.704,0.283,0.159468439,1,1,0.4917,2,1,NA,NA,NA,1,40790,10.61619223,18465,9.823686482,18675,9.834994556,0,0,12975,9.470856776,5640,8.637816634,1,40790,10.61619223,F
cand102064,63349,1998,PA1998,PA2336,"BOSCOLA, LISA",100,PA,state:upper,PA-18,-0.000849643,0,-5.435955048,55.43595505,55.4,NA,0,61.13,0.283,0.230769231,1,0,0.4917,2,1,NA,NA,NA,0,240773,12.39160986,121462,11.70736497,101427,11.52710447,1200,7.090909822,107573.68,11.58594058,12328,9.41970949,0.59816258,402521,12.90550255,F
cand102064,86471,2002,PA2002,PA2336,"BOSCOLA, LISA",100,PA,state:upper,PA-18,-0.000849643,0,-11.74821472,61.74821472,61.7,NA,0,63.665,0.283,0.164383562,1,0,0.506,2,1,55.43595505,1,943851,1,339691,12.73579166,169842,12.04262976,94706,11.45854319,52069,10.86034425,159403,11.97919714,9438.96,9.152707022,0.963935868,352400,12.77252217,F
